产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
食用油脂及其制品-->食用植物油,笨榨大豆油,大庆市庆客隆连锁商贸有限公司汤原分公司,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,1.8L/桶,宏涛,讷河市宏涛粮油有限公司,,大庆市庆客隆连锁商贸有限公司汤原分公司,,黑龙江市场监管局,,2015-01-07,溶剂残留量,84.8mg/kg,≤100mg/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75522
食用油脂及其制品-->食用植物油,笨榨熟豆油,伊春市伊春区凯玛特光明城店,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,1.8L/桶,森花,伊春市北方榨油有限公司,,伊春市伊春区凯玛特光明城店,,黑龙江市场监管局,,2015-01-07,过氧化值,8.2mmol/kg,≤7.5mmol/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75523
食用油脂及其制品-->食用植物油,笨榨大豆油(压榨),大庆市庆客隆连锁商贸有限公司建三江分公司,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,5L/桶,宏涛,讷河市宏涛粮油有限公司,,大庆市庆客隆连锁商贸有限公司建三江分公司,,黑龙江市场监管局,,2015-01-07,溶剂残留量,105.4mg/kg,≤100mg/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75524
食用油脂及其制品-->食用植物油,笨榨大豆油,昂昂溪区明坤油坊,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,5L/桶,明坤,齐齐哈尔市昂昂溪区霍托气村明坤笨榨油坊,,昂昂溪区明坤油坊,,黑龙江市场监管局,,2015-01-07,过氧化值,7.6mmol/kg,≤7.5mmol/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75525
食用油脂及其制品-->食用植物油,存香笨榨大豆油,绥化市北林区宏宇榨油厂,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,5L/桶,/,绥化市北林区宏宇榨油厂,,绥化市北林区宏宇榨油厂,,黑龙江市场监管局,,2015-01-07,过氧化值,7.1mmol/kg,≤7.5mmol/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75526
食用油脂及其制品-->食用植物油,天吉传统热榨大豆油,黑龙江红兴隆农垦天吉粮油加工有限公司,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,5L/桶,天吉,黑龙江省红兴隆垦区天吉粮油有限公司,,黑龙江红兴隆农垦天吉粮油加工有限公司,,黑龙江市场监管局,,2015-01-07,酸价,1.3mg/g,≤4.0mg/g,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75527
食用油脂及其制品-->食用植物油,大豆油,牡丹江市金源粮油产品有限公司,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,计量称重,/,牡丹江市金源粮油产品有限公司,,牡丹江市金源粮油产品有限公司,,黑龙江市场监管局,,2015-01-07,溶剂残留量,112.8mg/kg,≤100mg/kg,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75528
食用油脂及其制品-->食用植物油,福临门非转基因玉米油（压榨）,双鸭山市奇特超市有限责任公司五环店,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,5L/桶,福临门,中粮佳悦(天津)有限公司,,双鸭山市奇特超市有限责任公司五环店,,黑龙江市场监管局,,2015-01-07,酸价,0.59mg/g,≤4.0mg/g,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75529
食用油脂及其制品-->食用植物油,小磨香油,北京鑫福运来商贸有限公司综合超市,北京市场监管局,不合格,2015-01-21,,500mL/瓶,图型标,北京百世口福食品有限公司,,北京鑫福运来商贸有限公司综合超市,,北京市场监管局,,2015-01-21,脂肪酸组成,,,对不合格食品在流通领域采取停止销售措施，名单予以公示,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75314
食用油脂及其制品-->食用植物油,调和油,六安市裕安区新伟商贸经营部,安徽市场监管局,合格,2015-01-27,,1.8升/瓶,,阜阳市鸿达粮油有限责任公司/阜阳市经济技术开发区纬六路,,六安市裕安区新伟商贸经营部,六安市裕安区,安徽市场监管局,,2015-01-27,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475545
